epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,414.276,0.97015,2.28565,1.04066,1,0.10624,0.66109,0.43255,0.78834,3.30264,0.89233,0.00064,0.00064,0.00064
2,837.353,0.941,1.33033,0.98928,0.94143,0.49079,0.88287,0.64193,0.87866,2.75275,0.97695,0.00127426,0.00127426,0.00127426
3,1169.63,0.90753,1.19694,0.98506,0.95655,0.84037,0.92167,0.67523,0.95856,1.64795,1.03559,0.00188238,0.00188238,0.00188238
4,1501.77,0.91162,1.04031,0.98535,0.97253,0.9771,0.99325,0.73059,0.92948,1.10058,1.02307,0.0018812,0.0018812,0.0018812
5,1828.87,0.87102,0.89288,0.9693,0.96911,0.95799,0.98879,0.7817,0.81954,0.8916,0.93348,0.0018416,0.0018416,0.0018416
6,2170.38,0.90607,0.86427,0.99358,0.9455,0.98473,0.98648,0.73474,0.90075,0.95954,0.96217,0.001802,0.001802,0.001802
7,2554.8,0.80681,0.76,0.95289,0.97707,0.97569,0.99273,0.80355,0.7069,0.70396,0.92346,0.0017624,0.0017624,0.0017624
8,2873.87,0.81,0.71879,0.96177,0.97231,0.9771,0.99344,0.82154,0.72605,0.69261,0.92956,0.0017228,0.0017228,0.0017228
9,3181.19,0.75663,0.6324,0.94015,1,0.99062,0.995,0.7976,0.76039,0.63529,0.93164,0.0016832,0.0016832,0.0016832
10,3464.88,0.80343,0.6386,0.94964,0.98471,0.98352,0.99303,0.82546,0.67413,0.58481,0.90871,0.0016436,0.0016436,0.0016436
11,3759.69,0.74516,0.5836,0.92493,0.97587,1,0.99447,0.82319,0.70924,0.53803,0.88905,0.001604,0.001604,0.001604
