epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,362.458,0,103.267,0,0,0,0,0,0,185.6,0,0.00064,0.00064,0.00064
2,652.842,0,73.1794,0,0,0,0,0,0,109.831,0,0.00127426,0.00127426,0.00127426
3,959.357,0,57.6639,0,0,0,0,0,0,59.8105,0,0.00188238,0.00188238,0.00188238
4,1271.78,0,45.3269,0,0,0,0,0,0,45.4354,0,0.0018812,0.0018812,0.0018812
5,1565.51,0,33.2493,0,0,0,0,0,0,39.5273,0,0.0018416,0.0018416,0.0018416
6,1853.91,0,23.9559,0,0,0,0,0,0,23.8666,0,0.001802,0.001802,0.001802
7,2151.7,0,16.8898,0,0,0,0,0,0,43.5907,0,0.0017624,0.0017624,0.0017624
8,2443.8,0,11.7611,0,0,0,0,0,0,298373,0,0.0017228,0.0017228,0.0017228
9,2729.8,0,8.36737,0,0,0,0,0,0,10.8954,0,0.0016832,0.0016832,0.0016832
10,3024.01,0,5.64788,0,0,0,0,0,0,16.2484,0,0.0016436,0.0016436,0.0016436
11,3315.7,0,3.81037,0,0,0,0,0,0,4.56472,0,0.001604,0.001604,0.001604
